delivery_id,supplier_id,component_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,quantity_received,delivery_status,month,is_late,late_days,is_partial,delay_bucket,supplier_name,country,category
D0003258,S009,C0072,2024-02-21,2024-04-12,2024-04-13,14563,14563,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Bonding Wire (Au/Cu)
D0003847,S002,C0084,2024-02-21,2024-04-12,2024-04-12,13150,13150,On-Time,2024-04,0,0.0,0,On-time,Formotech Packaging,Malaysia,Bonding Wire (Au/Cu)
D0003356,S012,C0074,2024-02-21,2024-04-05,2024-04-06,6270,6270,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Bonding Wire (Au/Cu)
D0002776,S012,C0063,2024-02-22,2024-03-23,2024-03-28,6056,6056,Delayed,2024-03,1,5.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Leadframes
D0000043,S018,C0003,2024-02-22,2024-05-14,2024-05-14,37,37,On-Time,2024-05,0,0.0,0,On-time,St Micro Parts Asia,Malaysia,Silicon Wafers
D0003649,S001,C0080,2024-02-22,2024-04-07,,7135,7135,Unknown,2024-04,0,,0,Undelivered (open),Nippon Substrate Co.,Japan,Bonding Wire (Au/Cu)
D0007842,S018,C0192,2024-02-22,2024-04-14,2024-04-14,63,63,On-Time,2024-04,0,0.0,0,On-time,St Micro Parts Asia,Malaysia,Test Sockets
D0006635,S004,C0157,2024-02-22,2024-03-22,2024-03-24,11948,11948,Delayed,2024-03,1,2.0,0,Moderate delay (1–13d),Korea Probe Solutions,Korea,Solder Balls/Spheres
D0001185,S006,C0033,2024-02-22,2024-04-01,2024-04-01,5412,5412,On-Time,2024-04,0,0.0,0,On-time,Tokyo Wafertech,Korea,Organic Substrates
D0006363,S001,C0152,2024-02-22,2024-03-12,2024-03-12,10833,10833,On-Time,2024-03,0,0.0,0,On-time,Nippon Substrate Co.,Japan,Solder Balls/Spheres
D0006054,S016,C0144,2024-02-22,2024-04-09,2024-04-10,1828,1828,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Amkor Assembly Supplies,China,Underfill/Epoxy
D0008892,S009,C0217,2024-02-22,2024-03-28,2024-03-30,23119,23119,Delayed,2024-03,1,2.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Carrier Tapes/Trays
D0008373,S005,C0205,2024-02-22,2024-03-24,2024-03-25,18639,18639,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Silicon Precision Works,Singapore,Carrier Tapes/Trays
D0002120,S013,C0051,2024-02-22,2024-03-15,2024-03-15,12662,12662,On-Time,2024-03,0,0.0,0,On-time,Hanwa Leadframes,Malaysia,Leadframes
D0009140,S007,C0223,2024-02-22,2024-04-21,2024-04-21,250,250,On-Time,2024-04,0,0.0,0,On-time,Globaltest Equipment,China,Nozzles/Capillaries
D0008586,S004,C0210,2024-02-22,2024-03-21,2024-03-21,13078,13078,On-Time,2024-03,0,0.0,0,On-time,Korea Probe Solutions,Korea,Carrier Tapes/Trays
D0004627,S015,C0103,2024-02-22,2024-03-31,2024-03-31,1765,1765,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Mold Compound
D0004078,S009,C0089,2024-02-22,2024-03-24,2024-03-25,11901,11901,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Bonding Wire (Au/Cu)
D0004512,S004,C0100,2024-02-22,2024-04-03,2024-04-03,6328,6328,On-Time,2024-04,0,0.0,0,On-time,Korea Probe Solutions,Korea,Mold Compound
D0000751,S004,C0024,2024-02-22,2024-03-26,2024-03-27,7452,7452,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Korea Probe Solutions,Korea,Organic Substrates
D0002560,S012,C0059,2024-02-22,2024-04-03,2024-04-03,12902,12902,On-Time,2024-04,0,0.0,0,On-time,Spil Components Ltd.,Singapore,Leadframes
D0000025,S009,C0002,2024-02-22,2024-04-14,2024-04-15,35,35,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Silicon Wafers
D0001488,S005,C0039,2024-02-22,2024-03-31,2024-03-31,1939,1939,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Organic Substrates
D0002400,S011,C0056,2024-02-23,2024-03-29,2024-03-29,18132,18132,On-Time,2024-03,0,0.0,0,On-time,Ase Materials Division,Japan,Leadframes
D0001041,S015,C0030,2024-02-23,2024-03-31,2024-03-31,3155,3155,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Organic Substrates
D0000899,S003,C0027,2024-02-23,2024-04-14,2024-04-17,2373,2373,Delayed,2024-04,1,3.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Organic Substrates
D0001379,S004,C0037,2024-02-23,2024-04-16,2024-04-17,8278,8278,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Korea Probe Solutions,Korea,Organic Substrates
D0004401,S003,C0097,2024-02-23,2024-04-06,2024-04-07,2325,2325,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Mold Compound
D0009563,S008,C0238,2024-02-23,2024-04-06,2024-04-08,253,253,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),Micron Substrates Eu,Singapore,Nozzles/Capillaries
D0005201,S002,C0119,2024-02-23,2024-04-22,2024-04-23,2153,2153,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Formotech Packaging,Malaysia,Die Attach Film/Paste
D0005670,S004,C0133,2024-02-23,2024-03-19,2024-03-19,1160,1160,On-Time,2024-03,0,0.0,0,On-time,Korea Probe Solutions,Korea,Underfill/Epoxy
D0005916,S008,C0140,2024-02-23,2024-04-06,2024-04-06,2440,2440,On-Time,2024-04,0,0.0,0,On-time,Micron Substrates Eu,Singapore,Underfill/Epoxy
D0001638,S014,C0042,2024-02-23,2024-03-23,2024-03-25,2975,2975,Delayed,2024-03,1,2.0,0,Moderate delay (1–13d),Hitachi Bonding Wires,Germany,Organic Substrates
D0006227,S011,C0149,2024-02-23,2024-03-26,2024-03-27,1578,1578,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Ase Materials Division,Japan,Underfill/Epoxy
D0008457,S016,C0207,2024-02-23,2024-03-12,2024-03-12,14495,14495,On-Time,2024-03,0,0.0,0,On-time,Amkor Assembly Supplies,China,Carrier Tapes/Trays
D0006309,S012,C0151,2024-02-23,2024-03-29,2024-03-30,16976,16976,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Solder Balls/Spheres
D0001962,S009,C0048,2024-02-23,2024-04-18,2024-04-18,7082,7082,On-Time,2024-04,0,0.0,0,On-time,United Semiconductor Parts,United States,Leadframes
D0003750,S012,C0082,2024-02-23,2024-04-12,,4889,4889,Unknown,2024-04,0,,0,Undelivered (open),Spil Components Ltd.,Singapore,Bonding Wire (Au/Cu)
D0006585,S003,C0156,2024-02-23,2024-03-15,2024-03-18,24792,24792,Delayed,2024-03,1,3.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Solder Balls/Spheres
D0004126,S009,C0090,2024-02-23,2024-03-14,2024-03-16,10251,10251,Delayed,2024-03,1,2.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Bonding Wire (Au/Cu)
D0002282,S004,C0054,2024-02-23,2024-03-29,2024-03-29,28302,28302,On-Time,2024-03,0,0.0,0,On-time,Korea Probe Solutions,Korea,Leadframes
D0001137,S016,C0032,2024-02-23,2024-03-21,2024-03-21,4996,3867,Partial,2024-03,0,0.0,1,Partial fulfillment,Amkor Assembly Supplies,China,Organic Substrates
D0001695,S005,C0043,2024-02-26,2024-04-08,2024-04-08,6174,5764,Partial,2024-04,0,0.0,1,Partial fulfillment,Silicon Precision Works,Singapore,Organic Substrates
D0001334,S013,C0036,2024-02-26,2024-04-05,,5710,5710,Unknown,2024-04,0,,0,Undelivered (open),Hanwa Leadframes,Malaysia,Organic Substrates
D0006958,S004,C0163,2024-02-26,2024-03-27,2024-03-27,20648,20648,On-Time,2024-03,0,0.0,0,On-time,Korea Probe Solutions,Korea,Solder Balls/Spheres
D0008978,S011,C0219,2024-02-26,2024-03-31,2024-03-31,19711,19711,On-Time,2024-03,0,0.0,0,On-time,Ase Materials Division,Japan,Carrier Tapes/Trays
D0000396,S015,C0017,2024-02-26,2024-03-25,2024-03-25,5914,5914,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Organic Substrates
D0006024,S012,C0143,2024-02-26,2024-05-02,2024-05-03,1130,1130,Delayed,2024-05,1,1.0,0,Moderate delay (1–13d),Spil Components Ltd.,Singapore,Underfill/Epoxy
D0000090,S008,C0006,2024-02-26,2024-04-16,2024-04-17,69,69,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Micron Substrates Eu,Singapore,Silicon Wafers
D0002231,S012,C0053,2024-02-26,2024-03-19,2024-03-19,10625,10625,On-Time,2024-03,0,0.0,0,On-time,Spil Components Ltd.,Singapore,Leadframes
D0005840,S013,C0138,2024-02-26,2024-04-03,2024-04-04,2665,2665,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Hanwa Leadframes,Malaysia,Underfill/Epoxy
D0004330,S011,C0095,2024-02-26,2024-03-30,2024-03-31,4897,4897,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Ase Materials Division,Japan,Mold Compound
D0002342,S004,C0055,2024-02-26,2024-04-03,2024-04-04,24085,24085,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Korea Probe Solutions,Korea,Leadframes
D0006091,S011,C0145,2024-02-26,2024-04-22,2024-04-23,2406,2406,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Ase Materials Division,Japan,Underfill/Epoxy
D0007120,S013,C0166,2024-02-26,2024-03-30,2024-03-30,27207,27207,On-Time,2024-03,0,0.0,0,On-time,Hanwa Leadframes,Malaysia,Solder Balls/Spheres
D0005435,S007,C0126,2024-02-26,2024-04-14,2024-04-14,6431,6431,On-Time,2024-04,0,0.0,0,On-time,Globaltest Equipment,China,Die Attach Film/Paste
D0005766,S003,C0136,2024-02-26,2024-04-13,2024-04-14,2503,2503,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Underfill/Epoxy
D0005373,S001,C0124,2024-02-27,2024-04-10,2024-04-10,2586,2586,On-Time,2024-04,0,0.0,0,On-time,Nippon Substrate Co.,Japan,Die Attach Film/Paste
D0004553,S006,C0101,2024-02-27,2024-04-20,2024-04-20,3638,3638,On-Time,2024-04,0,0.0,0,On-time,Tokyo Wafertech,Korea,Mold Compound
D0002561,S009,C0059,2024-02-27,2024-04-07,2024-04-09,22763,22763,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Leadframes
D0008252,S001,C0202,2024-02-27,2024-03-27,2024-03-27,9625,9625,On-Time,2024-03,0,0.0,0,On-time,Nippon Substrate Co.,Japan,Carrier Tapes/Trays
D0007403,S005,C0171,2024-02-27,2024-04-05,2024-04-06,54864,54864,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Silicon Precision Works,Singapore,Solder Balls/Spheres
D0008171,S004,C0200,2024-02-27,2024-03-18,2024-03-18,15670,15670,On-Time,2024-03,0,0.0,0,On-time,Korea Probe Solutions,Korea,Carrier Tapes/Trays
D0003123,S018,C0069,2024-02-27,2024-04-06,2024-04-06,5880,5880,On-Time,2024-04,0,0.0,0,On-time,St Micro Parts Asia,Malaysia,Bonding Wire (Au/Cu)
D0000500,S011,C0019,2024-02-27,2024-04-09,2024-04-09,5093,5093,On-Time,2024-04,0,0.0,0,On-time,Ase Materials Division,Japan,Organic Substrates
D0006898,S005,C0162,2024-02-27,2024-03-28,2024-03-28,14903,14903,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Solder Balls/Spheres
D0007015,S001,C0164,2024-02-27,2024-04-10,2024-04-10,14336,14336,On-Time,2024-04,0,0.0,0,On-time,Nippon Substrate Co.,Japan,Solder Balls/Spheres
D0007763,S002,C0187,2024-02-27,2024-04-15,2024-04-15,47,47,On-Time,2024-04,0,0.0,0,On-time,Formotech Packaging,Malaysia,Test Sockets
D0000451,S011,C0018,2024-02-27,2024-03-31,2024-03-31,3844,3844,On-Time,2024-03,0,0.0,0,On-time,Ase Materials Division,Japan,Organic Substrates
D0000344,S018,C0016,2024-02-27,2024-04-01,2024-04-06,2847,2847,Delayed,2024-04,1,5.0,0,Moderate delay (1–13d),St Micro Parts Asia,Malaysia,Organic Substrates
D0004253,S009,C0093,2024-02-27,2024-04-06,2024-04-08,4341,4341,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Mold Compound
D0008804,S004,C0215,2024-02-27,2024-03-14,2024-03-15,14922,14922,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Korea Probe Solutions,Korea,Carrier Tapes/Trays
D0002121,S016,C0051,2024-02-28,2024-03-20,2024-04-08,8604,8604,Delayed,2024-03,1,19.0,0,Severe delay (14d+),Amkor Assembly Supplies,China,Leadframes
D0007684,S016,C0182,2024-02-28,2024-04-11,2024-04-13,105,105,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),Amkor Assembly Supplies,China,Test Sockets
D0002831,S015,C0064,2024-02-28,2024-03-28,2024-03-28,12176,12176,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Leadframes
D0009599,S003,C0239,2024-02-28,2024-03-20,2024-03-20,556,556,On-Time,2024-03,0,0.0,0,On-time,Taiwan Advanced Materials,United States,Nozzles/Capillaries
D0002723,S005,C0062,2024-02-28,2024-03-21,2024-03-21,25150,25150,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Leadframes
D0002507,S003,C0058,2024-02-28,2024-03-31,2024-03-31,12977,12977,On-Time,2024-03,0,0.0,0,On-time,Taiwan Advanced Materials,United States,Leadframes
D0007814,S003,C0190,2024-02-28,2024-04-25,2024-04-26,99,99,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Test Sockets
D0006636,S009,C0157,2024-02-28,2024-03-28,2024-03-28,33610,33610,On-Time,2024-03,0,0.0,0,On-time,United Semiconductor Parts,United States,Solder Balls/Spheres
D0002283,S016,C0054,2024-02-28,2024-04-03,2024-04-03,21434,21434,On-Time,2024-04,0,0.0,0,On-time,Amkor Assembly Supplies,China,Leadframes
D0001590,S006,C0041,2024-02-28,2024-04-08,2024-04-08,2926,2926,On-Time,2024-04,0,0.0,0,On-time,Tokyo Wafertech,Korea,Organic Substrates
D0002950,S020,C0066,2024-02-28,2024-04-04,2024-04-05,13900,13900,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Nanotech Packaging Taiwan,Malaysia,Leadframes
D0006310,S003,C0151,2024-02-28,2024-04-05,2024-04-05,10305,10305,On-Time,2024-04,0,0.0,0,On-time,Taiwan Advanced Materials,United States,Solder Balls/Spheres
D0001380,S001,C0037,2024-02-28,2024-04-20,,1823,1823,Unknown,2024-04,0,,0,Undelivered (open),Nippon Substrate Co.,Japan,Organic Substrates
D0003504,S018,C0077,2024-02-28,2024-04-03,2024-04-03,16395,16395,On-Time,2024-04,0,0.0,0,On-time,St Micro Parts Asia,Malaysia,Bonding Wire (Au/Cu)
D0000993,S009,C0029,2024-02-28,2024-04-08,2024-04-09,13810,13810,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Organic Substrates
D0000072,S003,C0005,2024-02-28,2024-04-07,2024-04-08,68,68,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Silicon Wafers
D0006162,S009,C0147,2024-02-28,2024-05-26,2024-05-27,1868,1868,Delayed,2024-05,1,1.0,0,Moderate delay (1–13d),United Semiconductor Parts,United States,Underfill/Epoxy
D0000153,S004,C0009,2024-02-28,2024-05-02,2024-05-02,83,83,On-Time,2024-05,0,0.0,0,On-time,Korea Probe Solutions,Korea,Silicon Wafers
D0003357,S008,C0074,2024-02-28,2024-04-11,2024-04-11,14389,14389,On-Time,2024-04,0,0.0,0,On-time,Micron Substrates Eu,Singapore,Bonding Wire (Au/Cu)
D0006364,S011,C0152,2024-02-28,2024-03-21,2024-03-21,21027,21027,On-Time,2024-03,0,0.0,0,On-time,Ase Materials Division,Japan,Solder Balls/Spheres
D0003848,S011,C0084,2024-02-28,2024-04-18,2024-04-18,11833,11833,On-Time,2024-04,0,0.0,0,On-time,Ase Materials Division,Japan,Bonding Wire (Au/Cu)
D0009477,S012,C0235,2024-02-28,2024-04-12,2024-04-12,583,583,On-Time,2024-04,0,0.0,0,On-time,Spil Components Ltd.,Singapore,Nozzles/Capillaries
D0008292,S015,C0203,2024-02-28,2024-03-25,2024-03-25,23302,23302,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Carrier Tapes/Trays
D0007994,S005,C0196,2024-02-28,2024-03-30,2024-03-30,14608,14608,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Carrier Tapes/Trays
D0003945,S001,C0086,2024-02-29,2024-03-21,2024-03-22,6960,6960,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Nippon Substrate Co.,Japan,Bonding Wire (Au/Cu)
D0008409,S015,C0206,2024-02-29,2024-03-28,2024-03-28,8533,8533,On-Time,2024-03,0,0.0,0,On-time,K&S Precision Tools,Korea,Carrier Tapes/Trays
D0004593,S008,C0102,2024-02-29,2024-04-04,2024-04-04,1956,1956,On-Time,2024-04,0,0.0,0,On-time,Micron Substrates Eu,Singapore,Mold Compound
D0009392,S020,C0232,2024-02-29,2024-04-07,2024-04-08,184,184,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Nanotech Packaging Taiwan,Malaysia,Nozzles/Capillaries
D0005240,S018,C0120,2024-02-29,2024-05-02,2024-05-11,1382,1382,Delayed,2024-05,1,9.0,0,Moderate delay (1–13d),St Micro Parts Asia,Malaysia,Die Attach Film/Paste
D0005988,S016,C0142,2024-02-29,2024-04-28,2024-04-29,1723,1723,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Amkor Assembly Supplies,China,Underfill/Epoxy
D0008040,S016,C0197,2024-02-29,2024-03-24,2024-03-26,14667,14667,Delayed,2024-03,1,2.0,0,Moderate delay (1–13d),Amkor Assembly Supplies,China,Carrier Tapes/Trays
D0008853,S009,C0216,2024-02-29,2024-03-31,2024-03-31,33273,33273,On-Time,2024-03,0,0.0,0,On-time,United Semiconductor Parts,United States,Carrier Tapes/Trays
D0006264,S008,C0150,2024-02-29,2024-04-12,2024-04-28,58622,50401,Delayed,2024-04,1,16.0,0,Severe delay (14d+),Micron Substrates Eu,Singapore,Solder Balls/Spheres
D0001748,S003,C0044,2024-02-29,2024-04-02,2024-04-04,4737,4737,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),Taiwan Advanced Materials,United States,Leadframes
D0000551,S013,C0020,2024-02-29,2024-04-22,2024-04-24,4333,4333,Delayed,2024-04,1,2.0,0,Moderate delay (1–13d),Hanwa Leadframes,Malaysia,Organic Substrates
D0003009,S005,C0067,2024-02-29,2024-03-25,2024-03-25,6503,6503,On-Time,2024-03,0,0.0,0,On-time,Silicon Precision Works,Singapore,Leadframes
D0001186,S013,C0033,2024-02-29,2024-04-08,2024-04-08,3866,3866,On-Time,2024-04,0,0.0,0,On-time,Hanwa Leadframes,Malaysia,Organic Substrates
D0000947,S011,C0028,2024-03-01,2024-04-22,2024-04-22,2508,2508,On-Time,2024-04,0,0.0,0,On-time,Ase Materials Division,Japan,Organic Substrates
D0005103,S011,C0116,2024-03-01,2024-04-08,2024-04-09,1205,1205,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Ase Materials Division,Japan,Die Attach Film/Paste
D0003801,S005,C0083,2024-03-01,2024-04-11,2024-04-12,10177,10177,Delayed,2024-04,1,1.0,0,Moderate delay (1–13d),Silicon Precision Works,Singapore,Bonding Wire (Au/Cu)
D0002012,S005,C0049,2024-03-01,2024-03-26,2024-03-27,4352,4352,Delayed,2024-03,1,1.0,0,Moderate delay (1–13d),Silicon Precision Works,Singapore,Leadframes
D0007465,S012,C0172,2024-03-01,2024-04-05,,19689,19689,Unknown,2024-04,0,,0,Undelivered (open),Spil Components Ltd.,Singapore,Solder Balls/Spheres
D0005269,S018,C0121,2024-03-01,2024-05-12,2024-05-12,2496,2496,On-Time,2024-05,0,0.0,0,On-time,St Micro Parts Asia,Malaysia,Die Attach Film/Paste
